Date: 30-12-2018 09:57:12 	 Version: 36 	 Update reason: 24/05/2018 - Ability to define: left hand Submachine CoordSys + Tilted Plane, 'Reverse Working Plane Z' + Arc Execution, 'Arc Direction By Plane Normal'(SC2018 SP2) - No needed convert.
Date: 30-12-2018 09:57:12 	 Version: 36 	 Update reason: 01/09/2018 - Ability to define: Threading Cycle, and in Drill Cycle added option of Reamering'(SC2019 SP0) - No needed convert.
Date: 30-12-2018 09:57:12 	 Version: 36 	 Update reason: 04/10/2018 - Ability to define: Drive Unit name (SC2019 SP0) - No needed convert.
Date: 30-12-2018 09:57:12 	 Version: 36 	 Update reason: 11/11/2018 - Fix number of pockets in Magazines (SC2019 SP0) - No needed convert.
Date: 30-12-2018 09:57:12 	 Version: 36 	 Update reason: 29/11/2018 - Added a new option in Tilted Plane Definition called Incline Index (SC2020 SP0) - No needed convert.
Date: 17-02-2019 12:11:43 	 Version: 41 	 Update reason: 13/02/2019 - Axes Patters as parent - child relation (SC2019 SP1) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 24/05/2018 - Ability to define: left hand Submachine CoordSys + Tilted Plane, 'Reverse Working Plane Z' + Arc Execution, 'Arc Direction By Plane Normal'(SC2018 SP2) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 01/09/2018 - Ability to define: Threading Cycle, and in Drill Cycle added option of Reamering'(SC2019 SP0) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 04/10/2018 - Ability to define: Drive Unit name (SC2019 SP0) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 11/11/2018 - Fix number of pockets in Magazines (SC2019 SP0) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 29/11/2018 - Added a new option in Tilted Plane Definition called Incline Index (SC2020 SP0) - No needed convert.
Date: 17-02-2019 13:43:36 	 Version: 36 	 Update reason: 13/02/2019 - Axes Patters as parent - child relation (SC2019 SP1) - No needed convert.
